Region,Year,BMI Category,Proportion
Africa,2013,Healthy (NCDRisC (2017)),66.3
Africa,2013,Overweight or Obese (NCDRisC (2017)),21.3
Africa,2013,Underweight (NCDRisC (2017)),12.4
Africa,2014,Healthy (NCDRisC (2017)),65.9
Africa,2014,Overweight or Obese (NCDRisC (2017)),21.8
Africa,2014,Underweight (NCDRisC (2017)),12.2
All Countries,2000,Healthy (NCDRisC (2017)),46.7
All Countries,2000,Overweight or Obese (NCDRisC (2017)),49.0
All Countries,2000,Underweight (NCDRisC (2017)),4.4
All Countries,2001,Healthy (NCDRisC (2017)),46.2
All Countries,2001,Overweight or Obese (NCDRisC (2017)),49.6
All Countries,2001,Underweight (NCDRisC (2017)),4.3
All Countries,2002,Healthy (NCDRisC (2017)),45.7
All Countries,2002,Overweight or Obese (NCDRisC (2017)),50.1
All Countries,2002,Underweight (NCDRisC (2017)),4.2
All Countries,2003,Healthy (NCDRisC (2017)),45.2
All Countries,2003,Overweight or Obese (NCDRisC (2017)),50.7
All Countries,2003,Underweight (NCDRisC (2017)),4.1
All Countries,2004,Healthy (NCDRisC (2017)),44.8
All Countries,2004,Overweight or Obese (NCDRisC (2017)),51.3
All Countries,2004,Underweight (NCDRisC (2017)),4.0
All Countries,2005,Healthy (NCDRisC (2017)),44.3
All Countries,2005,Overweight or Obese (NCDRisC (2017)),51.9
All Countries,2005,Underweight (NCDRisC (2017)),3.9
All Countries,2006,Healthy (NCDRisC (2017)),43.7
All Countries,2006,Overweight or Obese (NCDRisC (2017)),52.5
All Countries,2006,Underweight (NCDRisC (2017)),3.8
All Countries,2007,Healthy (NCDRisC (2017)),43.2
All Countries,2007,Overweight or Obese (NCDRisC (2017)),53.1
All Countries,2007,Underweight (NCDRisC (2017)),3.7
All Countries,2008,Healthy (NCDRisC (2017)),42.7
All Countries,2008,Overweight or Obese (NCDRisC (2017)),53.7
All Countries,2008,Underweight (NCDRisC (2017)),3.6
All Countries,2009,Healthy (NCDRisC (2017)),42.2
All Countries,2009,Overweight or Obese (NCDRisC (2017)),54.3
All Countries,2009,Underweight (NCDRisC (2017)),3.5
All Countries,2010,Healthy (NCDRisC (2017)),41.7
All Countries,2010,Overweight or Obese (NCDRisC (2017)),54.9
All Countries,2010,Underweight (NCDRisC (2017)),3.4
All Countries,2011,Healthy (NCDRisC (2017)),41.2
All Countries,2011,Overweight or Obese (NCDRisC (2017)),55.5
All Countries,2011,Underweight (NCDRisC (2017)),3.3
All Countries,2012,Healthy (NCDRisC (2017)),40.7
All Countries,2012,Overweight or Obese (NCDRisC (2017)),56.0
All Countries,2012,Underweight (NCDRisC (2017)),3.3
All Countries,2013,Healthy (NCDRisC (2017)),40.2
All Countries,2013,Overweight or Obese (NCDRisC (2017)),56.6
All Countries,2013,Underweight (NCDRisC (2017)),3.2
All Countries,2014,Healthy (NCDRisC (2017)),39.7
All Countries,2014,Overweight or Obese (NCDRisC (2017)),57.2
All Countries,2014,Underweight (NCDRisC (2017)),3.1
Caribbean,2000,Healthy (NCDRisC (2017)),54.7
Caribbean,2000,Overweight or Obese (NCDRisC (2017)),38.9
Caribbean,2000,Underweight (NCDRisC (2017)),6.4
Caribbean,2001,Healthy (NCDRisC (2017)),54.1
Caribbean,2001,Overweight or Obese (NCDRisC (2017)),39.7
Caribbean,2001,Underweight (NCDRisC (2017)),6.2
Caribbean,2002,Healthy (NCDRisC (2017)),53.5
Caribbean,2002,Overweight or Obese (NCDRisC (2017)),40.5
Caribbean,2002,Underweight (NCDRisC (2017)),6.0
Caribbean,2003,Healthy (NCDRisC (2017)),52.9
Caribbean,2003,Overweight or Obese (NCDRisC (2017)),41.4
Caribbean,2003,Underweight (NCDRisC (2017)),5.8
Caribbean,2004,Healthy (NCDRisC (2017)),52.2
Caribbean,2004,Overweight or Obese (NCDRisC (2017)),42.2
Caribbean,2004,Underweight (NCDRisC (2017)),5.5
Caribbean,2005,Healthy (NCDRisC (2017)),51.6
Caribbean,2005,Overweight or Obese (NCDRisC (2017)),43.1
Caribbean,2005,Underweight (NCDRisC (2017)),5.3
Caribbean,2006,Healthy (NCDRisC (2017)),50.9
Caribbean,2006,Overweight or Obese (NCDRisC (2017)),44.0
Caribbean,2006,Underweight (NCDRisC (2017)),5.1
Caribbean,2007,Healthy (NCDRisC (2017)),50.2
Caribbean,2007,Overweight or Obese (NCDRisC (2017)),44.9
Caribbean,2007,Underweight (NCDRisC (2017)),4.9
Caribbean,2008,Healthy (NCDRisC (2017)),49.5
Caribbean,2008,Overweight or Obese (NCDRisC (2017)),45.8
Caribbean,2008,Underweight (NCDRisC (2017)),4.7
Caribbean,2009,Healthy (NCDRisC (2017)),48.8
Caribbean,2009,Overweight or Obese (NCDRisC (2017)),46.6
Caribbean,2009,Underweight (NCDRisC (2017)),4.5
Caribbean,2010,Healthy (NCDRisC (2017)),48.2
Caribbean,2010,Overweight or Obese (NCDRisC (2017)),47.5
Caribbean,2010,Underweight (NCDRisC (2017)),4.4
Caribbean,2011,Healthy (NCDRisC (2017)),47.5
Caribbean,2011,Overweight or Obese (NCDRisC (2017)),48.3
Caribbean,2011,Underweight (NCDRisC (2017)),4.2
Caribbean,2012,Healthy (NCDRisC (2017)),46.8
Caribbean,2012,Overweight or Obese (NCDRisC (2017)),49.2
Caribbean,2012,Underweight (NCDRisC (2017)),4.0
Caribbean,2013,Healthy (NCDRisC (2017)),46.1
Caribbean,2013,Overweight or Obese (NCDRisC (2017)),50.0
Caribbean,2013,Underweight (NCDRisC (2017)),3.8
Caribbean,2014,Healthy (NCDRisC (2017)),45.4
Caribbean,2014,Overweight or Obese (NCDRisC (2017)),50.9
Caribbean,2014,Underweight (NCDRisC (2017)),3.7
Central America,2000,Healthy (NCDRisC (2017)),55.3
Central America,2000,Overweight or Obese (NCDRisC (2017)),40.4
Central America,2000,Underweight (NCDRisC (2017)),4.3
Central America,2001,Healthy (NCDRisC (2017)),54.7
Central America,2001,Overweight or Obese (NCDRisC (2017)),41.1
Central America,2001,Underweight (NCDRisC (2017)),4.1
Central America,2002,Healthy (NCDRisC (2017)),54.1
Central America,2002,Overweight or Obese (NCDRisC (2017)),41.9
Central America,2002,Underweight (NCDRisC (2017)),4.0
Central America,2003,Healthy (NCDRisC (2017)),53.5
Central America,2003,Overweight or Obese (NCDRisC (2017)),42.7
Central America,2003,Underweight (NCDRisC (2017)),3.8
Central America,2004,Healthy (NCDRisC (2017)),53.0
Central America,2004,Overweight or Obese (NCDRisC (2017)),43.4
Central America,2004,Underweight (NCDRisC (2017)),3.7
Central America,2005,Healthy (NCDRisC (2017)),52.4
Central America,2005,Overweight or Obese (NCDRisC (2017)),44.1
Central America,2005,Underweight (NCDRisC (2017)),3.5
Central America,2006,Healthy (NCDRisC (2017)),51.7
Central America,2006,Overweight or Obese (NCDRisC (2017)),44.9
Central America,2006,Underweight (NCDRisC (2017)),3.4
Central America,2007,Healthy (NCDRisC (2017)),51.1
Central America,2007,Overweight or Obese (NCDRisC (2017)),45.7
Central America,2007,Underweight (NCDRisC (2017)),3.2
Central America,2008,Healthy (NCDRisC (2017)),50.5
Central America,2008,Overweight or Obese (NCDRisC (2017)),46.4
Central America,2008,Underweight (NCDRisC (2017)),3.1
Central America,2009,Healthy (NCDRisC (2017)),49.8
Central America,2009,Overweight or Obese (NCDRisC (2017)),47.2
Central America,2009,Underweight (NCDRisC (2017)),3.0
Central America,2010,Healthy (NCDRisC (2017)),49.2
Central America,2010,Overweight or Obese (NCDRisC (2017)),47.9
Central America,2010,Underweight (NCDRisC (2017)),2.9
Central America,2011,Healthy (NCDRisC (2017)),48.6
Central America,2011,Overweight or Obese (NCDRisC (2017)),48.6
Central America,2011,Underweight (NCDRisC (2017)),2.8
Central America,2012,Healthy (NCDRisC (2017)),48.0
Central America,2012,Overweight or Obese (NCDRisC (2017)),49.4
Central America,2012,Underweight (NCDRisC (2017)),2.7
Central America,2013,Healthy (NCDRisC (2017)),47.3
Central America,2013,Overweight or Obese (NCDRisC (2017)),50.1
Central America,2013,Underweight (NCDRisC (2017)),2.6
Central America,2014,Healthy (NCDRisC (2017)),46.7
Central America,2014,Overweight or Obese (NCDRisC (2017)),50.8
Central America,2014,Underweight (NCDRisC (2017)),2.5
Central Asia,2000,Healthy (NCDRisC (2017)),58.0
Central Asia,2000,Overweight or Obese (NCDRisC (2017)),38.7
Central Asia,2000,Underweight (NCDRisC (2017)),3.4
Central Asia,2001,Healthy (NCDRisC (2017)),57.7
Central Asia,2001,Overweight or Obese (NCDRisC (2017)),39.1
Central Asia,2001,Underweight (NCDRisC (2017)),3.3
Central Asia,2002,Healthy (NCDRisC (2017)),57.4
Central Asia,2002,Overweight or Obese (NCDRisC (2017)),39.4
Central Asia,2002,Underweight (NCDRisC (2017)),3.2
Central Asia,2003,Healthy (NCDRisC (2017)),57.0
Central Asia,2003,Overweight or Obese (NCDRisC (2017)),40.0
Central Asia,2003,Underweight (NCDRisC (2017)),3.1
Central Asia,2004,Healthy (NCDRisC (2017)),56.5
Central Asia,2004,Overweight or Obese (NCDRisC (2017)),40.5
Central Asia,2004,Underweight (NCDRisC (2017)),3.0
Central Asia,2005,Healthy (NCDRisC (2017)),55.9
Central Asia,2005,Overweight or Obese (NCDRisC (2017)),41.2
Central Asia,2005,Underweight (NCDRisC (2017)),2.9
Central Asia,2006,Healthy (NCDRisC (2017)),55.3
Central Asia,2006,Overweight or Obese (NCDRisC (2017)),41.9
Central Asia,2006,Underweight (NCDRisC (2017)),2.8
Central Asia,2007,Healthy (NCDRisC (2017)),54.7
Central Asia,2007,Overweight or Obese (NCDRisC (2017)),42.7
Central Asia,2007,Underweight (NCDRisC (2017)),2.6
Central Asia,2008,Healthy (NCDRisC (2017)),53.9
Central Asia,2008,Overweight or Obese (NCDRisC (2017)),43.5
Central Asia,2008,Underweight (NCDRisC (2017)),2.5
Central Asia,2009,Healthy (NCDRisC (2017)),53.2
Central Asia,2009,Overweight or Obese (NCDRisC (2017)),44.4
Central Asia,2009,Underweight (NCDRisC (2017)),2.4
Central Asia,2010,Healthy (NCDRisC (2017)),52.4
Central Asia,2010,Overweight or Obese (NCDRisC (2017)),45.2
Central Asia,2010,Underweight (NCDRisC (2017)),2.3
Central Asia,2011,Healthy (NCDRisC (2017)),51.6
Central Asia,2011,Overweight or Obese (NCDRisC (2017)),46.1
Central Asia,2011,Underweight (NCDRisC (2017)),2.2
Central Asia,2012,Healthy (NCDRisC (2017)),50.9
Central Asia,2012,Overweight or Obese (NCDRisC (2017)),47.0
Central Asia,2012,Underweight (NCDRisC (2017)),2.1
Central Asia,2013,Healthy (NCDRisC (2017)),50.1
Central Asia,2013,Overweight or Obese (NCDRisC (2017)),47.9
Central Asia,2013,Underweight (NCDRisC (2017)),2.0
Central Asia,2014,Healthy (NCDRisC (2017)),49.3
Central Asia,2014,Overweight or Obese (NCDRisC (2017)),48.8
Central Asia,2014,Underweight (NCDRisC (2017)),2.0
Eastern Asia,2000,Healthy (NCDRisC (2017)),68.4
Eastern Asia,2000,Overweight or Obese (NCDRisC (2017)),25.1
Eastern Asia,2000,Underweight (NCDRisC (2017)),6.5
Eastern Asia,2001,Healthy (NCDRisC (2017)),68.0
Eastern Asia,2001,Overweight or Obese (NCDRisC (2017)),25.6
Eastern Asia,2001,Underweight (NCDRisC (2017)),6.3
Eastern Asia,2002,Healthy (NCDRisC (2017)),67.7
Eastern Asia,2002,Overweight or Obese (NCDRisC (2017)),26.1
Eastern Asia,2002,Underweight (NCDRisC (2017)),6.2
Eastern Asia,2003,Healthy (NCDRisC (2017)),67.3
Eastern Asia,2003,Overweight or Obese (NCDRisC (2017)),26.7
Eastern Asia,2003,Underweight (NCDRisC (2017)),6.1
Eastern Asia,2004,Healthy (NCDRisC (2017)),66.8
Eastern Asia,2004,Overweight or Obese (NCDRisC (2017)),27.3
Eastern Asia,2004,Underweight (NCDRisC (2017)),5.9
Eastern Asia,2005,Healthy (NCDRisC (2017)),66.4
Eastern Asia,2005,Overweight or Obese (NCDRisC (2017)),27.9
Eastern Asia,2005,Underweight (NCDRisC (2017)),5.7
Eastern Asia,2006,Healthy (NCDRisC (2017)),65.9
Eastern Asia,2006,Overweight or Obese (NCDRisC (2017)),28.5
Eastern Asia,2006,Underweight (NCDRisC (2017)),5.6
Eastern Asia,2007,Healthy (NCDRisC (2017)),65.3
Eastern Asia,2007,Overweight or Obese (NCDRisC (2017)),29.3
Eastern Asia,2007,Underweight (NCDRisC (2017)),5.4
Eastern Asia,2008,Healthy (NCDRisC (2017)),64.7
Eastern Asia,2008,Overweight or Obese (NCDRisC (2017)),30.0
Eastern Asia,2008,Underweight (NCDRisC (2017)),5.2
Eastern Asia,2009,Healthy (NCDRisC (2017)),64.1
Eastern Asia,2009,Overweight or Obese (NCDRisC (2017)),30.8
Eastern Asia,2009,Underweight (NCDRisC (2017)),5.1
Eastern Asia,2010,Healthy (NCDRisC (2017)),63.5
Eastern Asia,2010,Overweight or Obese (NCDRisC (2017)),31.6
Eastern Asia,2010,Underweight (NCDRisC (2017)),4.9
Eastern Asia,2011,Healthy (NCDRisC (2017)),62.8
Eastern Asia,2011,Overweight or Obese (NCDRisC (2017)),32.4
Eastern Asia,2011,Underweight (NCDRisC (2017)),4.8
Eastern Asia,2012,Healthy (NCDRisC (2017)),62.2
Eastern Asia,2012,Overweight or Obese (NCDRisC (2017)),33.2
Eastern Asia,2012,Underweight (NCDRisC (2017)),4.6
Eastern Asia,2013,Healthy (NCDRisC (2017)),61.5
Eastern Asia,2013,Overweight or Obese (NCDRisC (2017)),34.0
Eastern Asia,2013,Underweight (NCDRisC (2017)),4.5
Eastern Asia,2014,Healthy (NCDRisC (2017)),60.8
Eastern Asia,2014,Overweight or Obese (NCDRisC (2017)),34.9
Eastern Asia,2014,Underweight (NCDRisC (2017)),4.3
Europe,2000,Healthy (NCDRisC (2017)),42.8
Europe,2000,Overweight or Obese (NCDRisC (2017)),56.3
Europe,2000,Underweight (NCDRisC (2017)),0.9
Europe,2001,Healthy (NCDRisC (2017)),42.2
Europe,2001,Overweight or Obese (NCDRisC (2017)),56.9
Europe,2001,Underweight (NCDRisC (2017)),0.9
Europe,2002,Healthy (NCDRisC (2017)),41.6
Europe,2002,Overweight or Obese (NCDRisC (2017)),57.6
Europe,2002,Underweight (NCDRisC (2017)),0.8
Europe,2003,Healthy (NCDRisC (2017)),41.0
Europe,2003,Overweight or Obese (NCDRisC (2017)),58.2
Europe,2003,Underweight (NCDRisC (2017)),0.8
Europe,2004,Healthy (NCDRisC (2017)),40.4
Europe,2004,Overweight or Obese (NCDRisC (2017)),58.8
Europe,2004,Underweight (NCDRisC (2017)),0.8
Europe,2005,Healthy (NCDRisC (2017)),39.8
Europe,2005,Overweight or Obese (NCDRisC (2017)),59.5
Europe,2005,Underweight (NCDRisC (2017)),0.7
Europe,2006,Healthy (NCDRisC (2017)),39.2
Europe,2006,Overweight or Obese (NCDRisC (2017)),60.1
Europe,2006,Underweight (NCDRisC (2017)),0.7
Europe,2007,Healthy (NCDRisC (2017)),38.5
Europe,2007,Overweight or Obese (NCDRisC (2017)),60.8
Europe,2007,Underweight (NCDRisC (2017)),0.7
Europe,2008,Healthy (NCDRisC (2017)),37.9
Europe,2008,Overweight or Obese (NCDRisC (2017)),61.4
Europe,2008,Underweight (NCDRisC (2017)),0.6
Europe,2009,Healthy (NCDRisC (2017)),37.4
Europe,2009,Overweight or Obese (NCDRisC (2017)),62.0
Europe,2009,Underweight (NCDRisC (2017)),0.6
Europe,2010,Healthy (NCDRisC (2017)),36.9
Europe,2010,Overweight or Obese (NCDRisC (2017)),62.5
Europe,2010,Underweight (NCDRisC (2017)),0.6
Europe,2011,Healthy (NCDRisC (2017)),36.4
Europe,2011,Overweight or Obese (NCDRisC (2017)),63.1
Europe,2011,Underweight (NCDRisC (2017)),0.6
Europe,2012,Healthy (NCDRisC (2017)),35.9
Europe,2012,Overweight or Obese (NCDRisC (2017)),63.6
Europe,2012,Underweight (NCDRisC (2017)),0.5
Europe,2013,Healthy (NCDRisC (2017)),35.4
Europe,2013,Overweight or Obese (NCDRisC (2017)),64.1
Europe,2013,Underweight (NCDRisC (2017)),0.5
Europe,2014,Healthy (NCDRisC (2017)),34.9
Europe,2014,Overweight or Obese (NCDRisC (2017)),64.6
Europe,2014,Underweight (NCDRisC (2017)),0.5
Northern America,2000,Healthy (NCDRisC (2017)),36.3
Northern America,2000,Overweight or Obese (NCDRisC (2017)),62.9
Northern America,2000,Underweight (NCDRisC (2017)),0.7
Northern America,2001,Healthy (NCDRisC (2017)),35.7
Northern America,2001,Overweight or Obese (NCDRisC (2017)),63.6
Northern America,2001,Underweight (NCDRisC (2017)),0.6
Northern America,2002,Healthy (NCDRisC (2017)),35.0
Northern America,2002,Overweight or Obese (NCDRisC (2017)),64.4
Northern America,2002,Underweight (NCDRisC (2017)),0.6
Northern America,2003,Healthy (NCDRisC (2017)),34.3
Northern America,2003,Overweight or Obese (NCDRisC (2017)),65.0
Northern America,2003,Underweight (NCDRisC (2017)),0.6
Northern America,2004,Healthy (NCDRisC (2017)),33.7
Northern America,2004,Overweight or Obese (NCDRisC (2017)),65.7
Northern America,2004,Underweight (NCDRisC (2017)),0.6
Northern America,2005,Healthy (NCDRisC (2017)),33.0
Northern America,2005,Overweight or Obese (NCDRisC (2017)),66.4
Northern America,2005,Underweight (NCDRisC (2017)),0.6
Northern America,2006,Healthy (NCDRisC (2017)),32.4
Northern America,2006,Overweight or Obese (NCDRisC (2017)),67.0
Northern America,2006,Underweight (NCDRisC (2017)),0.6
Northern America,2007,Healthy (NCDRisC (2017)),31.8
Northern America,2007,Overweight or Obese (NCDRisC (2017)),67.6
Northern America,2007,Underweight (NCDRisC (2017)),0.6
Northern America,2008,Healthy (NCDRisC (2017)),31.3
Northern America,2008,Overweight or Obese (NCDRisC (2017)),68.2
Northern America,2008,Underweight (NCDRisC (2017)),0.6
Northern America,2009,Healthy (NCDRisC (2017)),30.8
Northern America,2009,Overweight or Obese (NCDRisC (2017)),68.6
Northern America,2009,Underweight (NCDRisC (2017)),0.6
Northern America,2010,Healthy (NCDRisC (2017)),30.4
Northern America,2010,Overweight or Obese (NCDRisC (2017)),69.1
Northern America,2010,Underweight (NCDRisC (2017)),0.5
Northern America,2011,Healthy (NCDRisC (2017)),30.0
Northern America,2011,Overweight or Obese (NCDRisC (2017)),69.6
Northern America,2011,Underweight (NCDRisC (2017)),0.5
Northern America,2012,Healthy (NCDRisC (2017)),29.5
Northern America,2012,Overweight or Obese (NCDRisC (2017)),70.0
Northern America,2012,Underweight (NCDRisC (2017)),0.5
Northern America,2013,Healthy (NCDRisC (2017)),29.1
Northern America,2013,Overweight or Obese (NCDRisC (2017)),70.4
Northern America,2013,Underweight (NCDRisC (2017)),0.5
Northern America,2014,Healthy (NCDRisC (2017)),28.6
Northern America,2014,Overweight or Obese (NCDRisC (2017)),70.9
Northern America,2014,Underweight (NCDRisC (2017)),0.5
Oceania,2000,Healthy (NCDRisC (2017)),49.7
Oceania,2000,Overweight or Obese (NCDRisC (2017)),48.4
Oceania,2000,Underweight (NCDRisC (2017)),1.9
Oceania,2001,Healthy (NCDRisC (2017)),49.4
Oceania,2001,Overweight or Obese (NCDRisC (2017)),48.8
Oceania,2001,Underweight (NCDRisC (2017)),1.8
Oceania,2002,Healthy (NCDRisC (2017)),49.0
Oceania,2002,Overweight or Obese (NCDRisC (2017)),49.2
Oceania,2002,Underweight (NCDRisC (2017)),1.8
Oceania,2003,Healthy (NCDRisC (2017)),48.7
Oceania,2003,Overweight or Obese (NCDRisC (2017)),49.5
Oceania,2003,Underweight (NCDRisC (2017)),1.8
Oceania,2004,Healthy (NCDRisC (2017)),48.3
Oceania,2004,Overweight or Obese (NCDRisC (2017)),49.9
Oceania,2004,Underweight (NCDRisC (2017)),1.7
Oceania,2005,Healthy (NCDRisC (2017)),48.0
Oceania,2005,Overweight or Obese (NCDRisC (2017)),50.3
Oceania,2005,Underweight (NCDRisC (2017)),1.7
Oceania,2006,Healthy (NCDRisC (2017)),47.6
Oceania,2006,Overweight or Obese (NCDRisC (2017)),50.7
Oceania,2006,Underweight (NCDRisC (2017)),1.7
Oceania,2007,Healthy (NCDRisC (2017)),47.2
Oceania,2007,Overweight or Obese (NCDRisC (2017)),51.2
Oceania,2007,Underweight (NCDRisC (2017)),1.6
Oceania,2008,Healthy (NCDRisC (2017)),46.7
Oceania,2008,Overweight or Obese (NCDRisC (2017)),51.6
Oceania,2008,Underweight (NCDRisC (2017)),1.6
Oceania,2009,Healthy (NCDRisC (2017)),46.3
Oceania,2009,Overweight or Obese (NCDRisC (2017)),52.1
Oceania,2009,Underweight (NCDRisC (2017)),1.6
Oceania,2010,Healthy (NCDRisC (2017)),45.9
Oceania,2010,Overweight or Obese (NCDRisC (2017)),52.6
Oceania,2010,Underweight (NCDRisC (2017)),1.5
Oceania,2011,Healthy (NCDRisC (2017)),45.4
Oceania,2011,Overweight or Obese (NCDRisC (2017)),53.0
Oceania,2011,Underweight (NCDRisC (2017)),1.5
Oceania,2012,Healthy (NCDRisC (2017)),45.0
Oceania,2012,Overweight or Obese (NCDRisC (2017)),53.6
Oceania,2012,Underweight (NCDRisC (2017)),1.5
Oceania,2013,Healthy (NCDRisC (2017)),44.5
Oceania,2013,Overweight or Obese (NCDRisC (2017)),54.0
Oceania,2013,Underweight (NCDRisC (2017)),1.4
Oceania,2014,Healthy (NCDRisC (2017)),44.0
Oceania,2014,Overweight or Obese (NCDRisC (2017)),54.6
Oceania,2014,Underweight (NCDRisC (2017)),1.4
South America,2000,Healthy (NCDRisC (2017)),52.0
South America,2000,Overweight or Obese (NCDRisC (2017)),45.2
South America,2000,Underweight (NCDRisC (2017)),2.8
South America,2001,Healthy (NCDRisC (2017)),51.4
South America,2001,Overweight or Obese (NCDRisC (2017)),45.9
South America,2001,Underweight (NCDRisC (2017)),2.7
South America,2002,Healthy (NCDRisC (2017)),50.8
South America,2002,Overweight or Obese (NCDRisC (2017)),46.6
South America,2002,Underweight (NCDRisC (2017)),2.6
South America,2003,Healthy (NCDRisC (2017)),50.3
South America,2003,Overweight or Obese (NCDRisC (2017)),47.3
South America,2003,Underweight (NCDRisC (2017)),2.5
South America,2004,Healthy (NCDRisC (2017)),49.7
South America,2004,Overweight or Obese (NCDRisC (2017)),47.9
South America,2004,Underweight (NCDRisC (2017)),2.4
South America,2005,Healthy (NCDRisC (2017)),49.1
South America,2005,Overweight or Obese (NCDRisC (2017)),48.7
South America,2005,Underweight (NCDRisC (2017)),2.3
South America,2006,Healthy (NCDRisC (2017)),48.4
South America,2006,Overweight or Obese (NCDRisC (2017)),49.4
South America,2006,Underweight (NCDRisC (2017)),2.2
South America,2007,Healthy (NCDRisC (2017)),47.8
South America,2007,Overweight or Obese (NCDRisC (2017)),50.1
South America,2007,Underweight (NCDRisC (2017)),2.1
South America,2008,Healthy (NCDRisC (2017)),47.1
South America,2008,Overweight or Obese (NCDRisC (2017)),50.9
South America,2008,Underweight (NCDRisC (2017)),2.0
South America,2009,Healthy (NCDRisC (2017)),46.4
South America,2009,Overweight or Obese (NCDRisC (2017)),51.6
South America,2009,Underweight (NCDRisC (2017)),1.9
South America,2010,Healthy (NCDRisC (2017)),45.7
South America,2010,Overweight or Obese (NCDRisC (2017)),52.4
South America,2010,Underweight (NCDRisC (2017)),1.9
South America,2011,Healthy (NCDRisC (2017)),45.0
South America,2011,Overweight or Obese (NCDRisC (2017)),53.2
South America,2011,Underweight (NCDRisC (2017)),1.8
South America,2012,Healthy (NCDRisC (2017)),44.3
South America,2012,Overweight or Obese (NCDRisC (2017)),54.0
South America,2012,Underweight (NCDRisC (2017)),1.8
South America,2013,Healthy (NCDRisC (2017)),43.6
South America,2013,Overweight or Obese (NCDRisC (2017)),54.8
South America,2013,Underweight (NCDRisC (2017)),1.7
South America,2014,Healthy (NCDRisC (2017)),42.9
South America,2014,Overweight or Obese (NCDRisC (2017)),55.5
South America,2014,Underweight (NCDRisC (2017)),1.6
South-eastern Asia,2000,Healthy (NCDRisC (2017)),67.4
South-eastern Asia,2000,Overweight or Obese (NCDRisC (2017)),16.1
South-eastern Asia,2000,Underweight (NCDRisC (2017)),16.5
South-eastern Asia,2001,Healthy (NCDRisC (2017)),67.2
South-eastern Asia,2001,Overweight or Obese (NCDRisC (2017)),16.5
South-eastern Asia,2001,Underweight (NCDRisC (2017)),16.3
South-eastern Asia,2002,Healthy (NCDRisC (2017)),67.0
South-eastern Asia,2002,Overweight or Obese (NCDRisC (2017)),17.0
South-eastern Asia,2002,Underweight (NCDRisC (2017)),16.0
South-eastern Asia,2003,Healthy (NCDRisC (2017)),66.8
South-eastern Asia,2003,Overweight or Obese (NCDRisC (2017)),17.5
South-eastern Asia,2003,Underweight (NCDRisC (2017)),15.8
South-eastern Asia,2004,Healthy (NCDRisC (2017)),66.6
South-eastern Asia,2004,Overweight or Obese (NCDRisC (2017)),18.0
South-eastern Asia,2004,Underweight (NCDRisC (2017)),15.5
South-eastern Asia,2005,Healthy (NCDRisC (2017)),66.3
South-eastern Asia,2005,Overweight or Obese (NCDRisC (2017)),18.5
South-eastern Asia,2005,Underweight (NCDRisC (2017)),15.2
South-eastern Asia,2006,Healthy (NCDRisC (2017)),66.1
South-eastern Asia,2006,Overweight or Obese (NCDRisC (2017)),19.0
South-eastern Asia,2006,Underweight (NCDRisC (2017)),14.9
South-eastern Asia,2007,Healthy (NCDRisC (2017)),65.8
